What is your view on politics in us & world,Ballot used for interview,Year of birth,Household type,Number in family of r,Rs income in constant $,Family income in constant $,Rs job is useful to society,R has opportunity to advance,Rs income is high,Rs job is secure,Standard of living of r will improve,Relationship status and cohabitation or not,The highest degree r have earned,Total family income,Respondents income,How much time felt sad in past wk,How much time felt happy in past wk,How much time felt depressed in past wk,Hours of internet use on weekends,Minutes of internet use on weekends,Hours of internet use on weekdays,Minutes of internet use on weekdays,Use twitter,Use internet/apps more than occassionally,I am meeting my current goals,I see myself as successful,I expect more good things to happen to me than bad,I'm always optimistic about my future,Hours per day watching tv,How often does r read newspaper,Rs living standard compared to parents,Happiness of marriage,General happiness,Strength of affiliation,Political party affiliation,Region of interview,Respondents income,Total family income,Was r born in this country,Rs family income when 16 yrs old,Living with parents when 16 yrs old,Marital status,Number of hours usually work a week,Respondent id number,Happiness of relt with partner,Condition of health,Satisfaction with financial situation,Rs self ranking of social position,Job or housework,Is r likely to lose job,Spend evening with friends,Spend evening with relatives,Confidence in congress,Confid. in united states supreme court,Confid. in exec branch of fed govt,Confidence in education,Confidence in major companies,Can people be trusted,Is life exciting or dull,Gss year for this respondent                       
Not applicable,Ballot b,1990,"1adlt,0kids",1st person,15210,15210,Strongly agree,Agree,Neither,Strongly agree,Agree,"I have a steady partner, and we live in the same household.",Not applicable,$30000 to 34999,$30000 to 34999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,2,Never,About the same,Not applicable,Pretty happy,No religion,Independent,Pacific,$25000 or more,$25000 or more,Yes,Average,Mother & father,Never married,Not applicable,1203,Pretty happy,Not applicable,More or less,5,Mod. satisfied,Not likely,Sev times a year,Once a month,Hardly any,Only some,Don't know,Don't know,Only some,Depends,Not applicable,2016
Not applicable,Ballot c,1950,"1adlt,0kids",1st person,0,65520,No issp,No issp,No issp,No issp,Agree,"I have a husband or wife or steady partner, but we don’t live in the same household.",Not applicable,$130000 to $149999,Not applicable,None or almost none of the time,Most of the time,None or almost none of the time,0,10,0,30,No,Yes,Somewhat true,Mostly true,Strongly agree,Strongly agree,Not applicable,Not applicable,Much better,Not applicable,Pretty happy,Not very strong,"Ind,near dem",Middle atlantic,Not applicable,$25000 or more,Yes,Below average,Mother & father,Divorced,Not applicable,1204,Not applicable,Excellent,Satisfied,3,Not applicable,Not applicable,Not applicable,Not applicable,Hardly any,A great deal,A great deal,Only some,Only some,Can trust,Exciting,2016
Not applicable,Ballot b,1981,"2adlts,ntmar,rel,0kids",2nd person,21060,21060,Strongly agree,Agree,Neither,Agree,Agree,I don’t have a steady partner.,Not applicable,$40000 to 49999,$40000 to 49999,Not applicable,Not applicable,Not applicable,1,0,1,0,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,1,Few times a week,Somewhat better,Not applicable,Pretty happy,Somewhat strong,Not str republican,Middle atlantic,$25000 or more,$25000 or more,Yes,Don't know,Mother & father,Never married,Not applicable,1205,Not applicable,Not applicable,Not at all sat,5,Mod. satisfied,Not likely,Once a month,Sev times a week,Only some,Only some,Only some,Only some,Hardly any,Can trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1975,"1adlt,1+kids",1st person,0,21060,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$40000 to 49999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Never,Not applicable,Not applicable,Pretty happy,No religion,Other party,Middle atlantic,Not applicable,$25000 or more,Yes,Below average,Mother & father,Divorced,Not applicable,1206,Not applicable,Poor,Satisfied,5,Not applicable,Not applicable,Sev times a year,Once a month,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
Not applicable,Ballot c,1972,"2adlts,mar,0kids",1st person,936,38610,Agree,Strongly disagree,Neither,Disagree,Neither,Not applicable,Not applicable,$75000 to $89999,$1 000 to 2 999,None or almost none of the time,All or almost all of the time,None or almost none of the time,2,0,2,0,Yes,Yes,Slightly false,Mostly true,Strongly agree,Agree,Not applicable,Not applicable,Somewhat better,Very happy,Pretty happy,Strong,Strong republican,Middle atlantic,$1000 to 2999,$25000 or more,Yes,Above average,Mother & father,Married,Not applicable,1207,Not applicable,Excellent,Not at all sat,5,Very dissatisfied,Not applicable,Not applicable,Not applicable,Only some,Only some,Hardly any,Only some,Only some,Can trust,Exciting,2016
Not applicable,Ballot b,1950,"2adlts,mar,0kids",1st person,38610,56160,No issp,No issp,No issp,No issp,Neither,I am married and living in the same household as my husband or wife.,Not applicable,$110000 to $129999,$75000 to $89999,Not applicable,Not applicable,Not applicable,0,30,0,30,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,4,Few times a week,Somewhat better,Very happy,Very happy,Strong,"Ind,near dem",Middle atlantic,$25000 or more,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,1208,Not applicable,Not applicable,Satisfied,5,Not applicable,Not applicable,Sev times a mnth,Once a year,Only some,Only some,Only some,A great deal,Only some,Cannot trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1959,"1adlt,0kids",1st person,21060,21060,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$40000 to 49999,$40000 to 49999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,Everyday,Not applicable,Not applicable,Pretty happy,Not very strong,Not str republican,Middle atlantic,$25000 or more,$25000 or more,Yes,Average,Mother & father,Divorced,Not applicable,1209,Not applicable,Good,More or less,5,Mod. satisfied,Not likely,Sev times a week,Sev times a mnth,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
No answer,Ballot a,1927,"1adlt,0kids",1st person,0,46800,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Bachelor's,$90000 to $109999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Everyday,Not applicable,Not applicable,Pretty happy,No religion,Strong republican,Middle atlantic,Not applicable,$25000 or more,Yes,Far above average,Mother & father,Widowed,Not applicable,1210,Not applicable,Good,Satisfied,2,Not applicable,Not applicable,Never,Sev times a week,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Dull,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot b,1989,"2adlts,dkmar,0kids",2nd person,15210,31590,No issp,No issp,No issp,No issp,Agree,Not applicable,Associate's,$60000 to 74999,$30000 to 34999,Not applicable,Not applicable,Not applicable,5,0,5,0,No,Yes,Mostly true,Definitely true,Strongly agree,Strongly agree,2,Few times a week,Much better,Not applicable,Pretty happy,Not very strong,Not str democrat,Middle atlantic,$25000 or more,$25000 or more,Yes,Average,Other,Never married,Not applicable,1211,Very happy,Not applicable,Satisfied,5,Mod. satisfied,Not likely,Once a month,Sev times a year,Only some,A great deal,Only some,Only some,Only some,Cannot trust,Not applicable,2016
Not applicable,Ballot b,1973,"2as,ntmar,ntrel,opsex,1+ks",1st person,0,25740,Agree,Strongly agree,Neither,Agree,Agree,"I have a steady partner, and we live in the same household.",Not applicable,$50000 to 59999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,3,Never,Much better,Not applicable,Pretty happy,Not very strong,"Ind,near dem",Middle atlantic,Not applicable,$25000 or more,Yes,Average,Mother,Never married,Not applicable,1212,Very happy,Not applicable,More or less,5,Mod. satisfied,Not likely,Sev times a week,Once a month,Hardly any,Hardly any,Only some,Only some,Only some,Cannot trust,Not applicable,2016
Not applicable,Ballot c,1952,"1adlt,0kids",1st person,0,4212,No issp,No issp,No issp,No issp,Strongly agree,I don’t have a steady partner.,Not applicable,$8 000 to 9 999,Not applicable,None or almost none of the time,Some of the time,None or almost none of the time,2,0,2,0,No,Yes,Slightly false,Slightly false,Neutral,Disagree,Not applicable,Not applicable,About the same,Not applicable,Not too happy,Strong,Not str democrat,Middle atlantic,Not applicable,$8000 to 9999,Yes,Below average,M and f relatives,Never married,Not applicable,1213,Not applicable,Good,More or less,8,Not applicable,Not applicable,Not applicable,Not applicable,Hardly any,Only some,Only some,Hardly any,Only some,Cannot trust,Routine,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot b,1972,"2adlts,mar,0kids",1st person,11115,11115,No issp,No issp,No issp,No issp,Strongly agree,Not applicable,Not applicable,$22500 to 24999,$22500 to 24999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Mostly true,Definitely true,Agree,Neutral,3,Never,About the same,Not too happy,Not too happy,No religion,Not str democrat,Middle atlantic,$20000 - 24999,$20000 - 24999,Yes,Below average,Mother & father,Married,Not applicable,1214,Not applicable,Not applicable,Satisfied,7,Very satisfied,Not likely,Once a month,Sev times a mnth,A great deal,A great deal,Hardly any,A great deal,Hardly any,Cannot trust,Not applicable,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot a,1951,"1adlt,0kids",1st person,0,8775,No issp,No issp,No issp,No issp,Not applicable,I don’t have a steady partner.,Not applicable,$17500 to 19999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20,Everyday,Not applicable,Not applicable,Very happy,Strong,Strong democrat,Middle atlantic,Not applicable,$15000 - 19999,Yes,Above average,Father,Never married,Not applicable,1215,Not applicable,Good,More or less,Top,Not applicable,Not applicable,Once a year,Almost daily,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
Not applicable,Ballot b,1992,"3adlts,2mar,sp,rel,0kids",3rd person,3042,9945,Neither,Agree,Agree,Strongly agree,Agree,I don’t have a steady partner.,Not applicable,$20000 to 22499,$6 000 to 6 999,Not applicable,Not applicable,Not applicable,0,10,0,15,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,4,Never,Somewhat worse,Not applicable,Pretty happy,Somewhat strong,Independent,Middle atlantic,$6000 to 6999,$20000 - 24999,Yes,Average,Mother & father,Never married,Not applicable,1216,Not applicable,Not applicable,More or less,7,Very satisfied,Not likely,Almost daily,Sev times a week,Hardly any,Only some,Hardly any,Only some,A great deal,Can trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1944,"2adlts,ntmar,rel,0kids",1st person,0,1638,No issp,No issp,No issp,No issp,Not applicable,I don’t have a steady partner.,Not applicable,$3 000 to 3 999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,24,Never,Not applicable,Not applicable,Not too happy,Strong,Strong republican,Middle atlantic,Not applicable,$3000 to 3999,Yes,Below average,Mother & father,Widowed,Not applicable,1217,Not applicable,Fair,More or less,Top,Not applicable,Not applicable,Never,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
Not applicable,Ballot b,1994,"1adlt,0kids",1st person,0,6435,Agree,Agree,Neither,Agree,Strongly agree,I don’t have a steady partner.,Not applicable,$12500 to 14999,Not applicable,Not applicable,Not applicable,Not applicable,2,0,4,0,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,2,Never,About the same,Not applicable,Pretty happy,No religion,Strong democrat,Middle atlantic,Not applicable,$10000 - 14999,Yes,Below average,Mother,Never married,Not applicable,1218,Not applicable,Not applicable,Satisfied,8,Very satisfied,Not applicable,Sev times a mnth,Almost daily,Only some,Only some,Only some,A great deal,Only some,Can trust,Not applicable,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot a,1959,"4+adlts,2mar,0kids",1st person,38610,74880,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Bachelor's,$150000 to $169999,$75000 to $89999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Few times a week,Not applicable,Very happy,Pretty happy,Not very strong,Not str republican,Middle atlantic,$25000 or more,$25000 or more,Yes,Below average,Mother & father,Married,Not applicable,1219,Not applicable,Excellent,Satisfied,5,No answer,Not likely,Sev times a mnth,Sev times a mnth,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1953,"2adlts,mar,0kids",1st person,15210,31590,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$60000 to 74999,$30000 to 34999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Everyday,Not applicable,Very happy,Pretty happy,Not very strong,Independent,Middle atlantic,$25000 or more,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,1220,Not applicable,Excellent,More or less,6,Mod. satisfied,Not likely,Sev times a year,Sev times a year,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
Not applicable,Ballot c,1961,"2as,ntmar,ntrel,opsex,0ks",1st person,7605,17550,Disagree,Strongly disagree,Neither,Strongly agree,Agree,"I have a steady partner, and we live in the same household.",Not applicable,$35000 to 39999,$15000 to 17499,None or almost none of the time,Most of the time,None or almost none of the time,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Somewhat true,Slightly true,Neutral,Agree,Not applicable,Not applicable,Somewhat better,Not applicable,Pretty happy,No religion,Other party,Middle atlantic,$15000 - 19999,$25000 or more,Yes,Below average,Other,Divorced,Not applicable,1221,Very happy,Fair,Satisfied,7,Very satisfied,Not applicable,Not applicable,Not applicable,Only some,A great deal,Only some,Only some,Hardly any,Can trust,Exciting,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot b,1960,"1adlt,0kids",1st person,0,25740,No issp,No issp,No issp,No issp,Neither,Not applicable,Bachelor's,$50000 to 59999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Slightly true,Slightly true,Neutral,Agree,2,Everyday,About the same,Not applicable,Pretty happy,Strong,Strong republican,Middle atlantic,Not applicable,$25000 or more,Yes,Average,Father,Divorced,Not applicable,1222,Not applicable,Not applicable,More or less,5,Mod. satisfied,Not too likely,Sev times a year,Sev times a year,Only some,Only some,Hardly any,Only some,Only some,Cannot trust,Not applicable,2016
Not applicable,Ballot b,1929,"2adlts,ntmar,rel,0kids",1st person,0,65520,No issp,No issp,No issp,No issp,Disagree,I don’t have a steady partner.,Not applicable,$130000 to $149999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,8,Everyday,Much better,Not applicable,Not too happy,Strong,Not str republican,Middle atlantic,Not applicable,$25000 or more,Yes,Below average,Mother & father,Widowed,Not applicable,1223,Not applicable,Not applicable,Satisfied,6,Not applicable,Not applicable,Once a month,Sev times a year,Only some,Only some,Hardly any,Hardly any,A great deal,Can trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1963,"2adlts,mar,0kids",1st person,17550,46800,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$90000 to $109999,$35000 to 39999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Never,Not applicable,Very happy,Pretty happy,Strong,Strong democrat,Middle atlantic,$25000 or more,$25000 or more,Yes,Below average,Mother & father,Married,Not applicable,1224,Not applicable,Good,Not at all sat,7,Mod. satisfied,Not too likely,Sev times a year,Sev times a year,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot b,1980,"4+adlts,4+mar,1+kids",3rd person,65520,131676.6906,No issp,No issp,No issp,No issp,Agree,Not applicable,Other,$170000 or over,$130000 to $149999,Not applicable,Not applicable,Not applicable,1,0,1,0,Yes,Yes,Somewhat true,Mostly true,Strongly agree,Strongly agree,1,Once a week,About the same,Very happy,Very happy,Strong,Other party,Middle atlantic,$25000 or more,Refused,Yes,Above average,Mother & father,Married,Not applicable,1225,Not applicable,Not applicable,More or less,3,Very satisfied,Not likely,Sev times a year,Sev times a mnth,Hardly any,Only some,Only some,Hardly any,A great deal,Can trust,Not applicable,2016
Not applicable,Ballot c,1964,"3adlts,2mar,sp,rel,0kids",1st person,0,15210,No issp,No issp,No issp,No issp,Strongly agree,Not applicable,Not applicable,$30000 to 34999,Not applicable,Some of the time,Some of the time,None or almost none of the time,0,20,1,0,No,Yes,Somewhat true,Somewhat true,Neutral,Agree,Not applicable,Not applicable,About the same,Pretty happy,Very happy,Not very strong,Not str republican,Middle atlantic,Not applicable,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,1226,Not applicable,Good,Satisfied,5,Mod. satisfied,Not applicable,Not applicable,Not applicable,Only some,Only some,Hardly any,Hardly any,Only some,Can trust,Routine,2016
Not applicable,Ballot b,1979,"1adlt,0kids",1st person,15210,17550,Agree,Disagree,Strongly disagree,Agree,Disagree,I don’t have a steady partner.,Not applicable,$35000 to 39999,$30000 to 34999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,1,Once a week,About the same,Not applicable,Pretty happy,Not very strong,Strong democrat,Middle atlantic,$25000 or more,$25000 or more,Yes,Below average,Mother & stpfather,Divorced,Not applicable,1227,Not applicable,Not applicable,Not at all sat,7,Mod. satisfied,Very likely,Sev times a year,Sev times a week,Hardly any,Only some,Only some,Only some,Hardly any,Cannot trust,Not applicable,2016
Not applicable,Ballot c,1941,"3adlts,2mar,sp,rel,0kids",1st person,234,38610,No issp,No issp,No issp,No issp,Agree,I am married and living in the same household as my husband or wife.,Not applicable,$75000 to $89999,Under $1 000,Some of the time,Most of the time,Some of the time,6,0,6,0,No,Yes,Somewhat false,Somewhat true,Neutral,Disagree,Not applicable,Not applicable,About the same,Very happy,Not too happy,Not very strong,Not str democrat,Middle atlantic,Lt $1000,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,1228,Not applicable,Good,More or less,3,Not applicable,Not applicable,Not applicable,Not applicable,Hardly any,A great deal,Only some,Only some,Only some,Cannot trust,Routine,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot b,1992,"3adlts,0mar,ntrel,rel,0kids",3rd person,15210,0,No issp,No issp,No issp,No issp,Agree,Not applicable,Not applicable,Don't know,$30000 to 34999,Not applicable,Not applicable,Not applicable,2,0,2,0,No,Yes,Somewhat true,Mostly true,Agree,Agree,2,Once a week,Don't know,Not applicable,Not too happy,No religion,Independent,Middle atlantic,$25000 or more,Don't know,Yes,Above average,M and f relatives,Never married,Not applicable,1229,Not applicable,Not applicable,Not at all sat,Don't know,Mod. satisfied,Not applicable,Once a year,Almost daily,Don't know,Only some,Only some,Only some,Hardly any,Cannot trust,Not applicable,2016
Not applicable,Ballot c,1988,"2adlts,mar,0kids",2nd person,15210,38610,Strongly agree,Disagree,Disagree,Strongly agree,Agree,Not applicable,Not applicable,$75000 to $89999,$30000 to 34999,None or almost none of the time,Most of the time,None or almost none of the time,3,0,2,0,Yes,Yes,Slightly true,Somewhat true,Agree,Agree,Not applicable,Not applicable,Somewhat better,Very happy,Very happy,Not very strong,Not str democrat,Middle atlantic,$25000 or more,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,1230,Not applicable,Good,More or less,5,Very satisfied,Not applicable,Not applicable,Not applicable,Only some,Only some,Only some,Only some,A great deal,Cannot trust,Routine,2016
Not applicable,Ballot b,1995,"3adlts,2mar,sp,rel,0kids",3rd person,3510,38610,Agree,Agree,Neither,Agree,Agree,I don’t have a steady partner.,Not applicable,$75000 to $89999,$7 000 to 7 999,Not applicable,Not applicable,Not applicable,2,0,2,0,Yes,Yes,Not applicable,Not applicable,Not applicable,Not applicable,2,Never,About the same,Not applicable,Pretty happy,Somewhat strong,Independent,Middle atlantic,$7000 to 7999,$25000 or more,Yes,Average,Mother & father,Never married,Not applicable,1231,Not applicable,Not applicable,More or less,6,Mod. satisfied,Not too likely,Sev times a mnth,Sev times a week,Hardly any,Hardly any,Hardly any,Only some,Only some,Cannot trust,Not applicable,2016
Not applicable,Ballot c,1968,"1adlt,0kids",1st person,0,4212,No issp,No issp,No issp,No issp,Agree,I don’t have a steady partner.,Not applicable,$8 000 to 9 999,Not applicable,None or almost none of the time,Some of the time,Some of the time,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Somewhat true,Don't know,Disagree,Neutral,Not applicable,Not applicable,About the same,Not applicable,Pretty happy,Strong,Strong democrat,Middle atlantic,Not applicable,$8000 to 9999,Yes,Below average,Father,Never married,Not applicable,1232,Not applicable,Fair,More or less,5,Not applicable,Not applicable,Not applicable,Not applicable,Only some,Only some,Hardly any,Only some,Only some,Cannot trust,Routine,2016
Not applicable,Ballot b,1948,"2adlts,mar,0kids",2nd person,0,31590,No issp,No issp,No issp,No issp,Agree,I am married and living in the same household as my husband or wife.,Not applicable,$60000 to 74999,Not applicable,Not applicable,Not applicable,Not applicable,2,0,2,0,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,6,Everyday,Somewhat better,Very happy,Pretty happy,Strong,"Ind,near rep",Middle atlantic,Not applicable,$25000 or more,Yes,Above average,Mother & father,Married,Not applicable,1233,Not applicable,Not applicable,More or less,7,Not applicable,Not applicable,Once a month,Sev times a week,Hardly any,A great deal,Hardly any,Hardly any,Only some,Can trust,Not applicable,2016
Not applicable,Ballot c,1957,"2adlts,mar,0kids",2nd person,8775,25740,Strongly agree,Disagree,Disagree,Agree,Strongly agree,I am married and living in the same household as my husband or wife.,Not applicable,$50000 to 59999,$17500 to 19999,Some of the time,Most of the time,Some of the time,5,0,8,0,No,Yes,Mostly true,Mostly true,Agree,Agree,Not applicable,Not applicable,About the same,Very happy,Very happy,Not very strong,Not str democrat,Middle atlantic,$15000 - 19999,$25000 or more,Yes,Below average,Mother & father,Married,Not applicable,1234,Not applicable,Good,More or less,4,Very satisfied,Not applicable,Not applicable,Not applicable,Only some,Only some,Only some,Only some,A great deal,Cannot trust,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1976,"2adlts,mar,1+kids",1st person,11115,25740,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Not applicable,$50000 to 59999,$22500 to 24999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Never,Not applicable,Pretty happy,Pretty happy,Strong,Strong republican,Middle atlantic,$20000 - 24999,$25000 or more,Yes,Average,Other,Married,Not applicable,1235,Not applicable,Good,Not at all sat,5,No answer,Very likely,Sev times a mnth,Sev times a week,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
Not applicable,Ballot c,1981,"1adlt,0kids",1st person,25740,25740,Strongly agree,Disagree,Neither,Agree,Strongly agree,Not applicable,Not applicable,$50000 to 59999,$50000 to 59999,None or almost none of the time,All or almost all of the time,None or almost none of the time,1,0,2,0,Yes,Yes,Somewhat true,Definitely true,Agree,Strongly agree,Not applicable,Not applicable,Much better,Not applicable,Pretty happy,Not very strong,Not str democrat,South atlantic,$25000 or more,$25000 or more,Yes,Average,Mother & father,Never married,Not applicable,1236,Not applicable,Excellent,More or less,Top,Very satisfied,Not applicable,Not applicable,Not applicable,Only some,A great deal,Only some,A great deal,A great deal,Cannot trust,Exciting,2016
Not applicable,Ballot c,1965,"2adlts,mar,1+kids",1st person,164382.0376,131676.6906,Strongly agree,Neither,Strongly agree,Agree,Agree,I am married and living in the same household as my husband or wife.,Not applicable,$170000 or over,$170000 or over,Some of the time,Most of the time,None or almost none of the time,2,0,2,0,No,Yes,Mostly true,Mostly true,Agree,Agree,Not applicable,Not applicable,Much better,Pretty happy,Pretty happy,Not very strong,Strong republican,South atlantic,Refused,Refused,Yes,Below average,Mother & father,Married,Not applicable,1237,Not applicable,Good,More or less,4,Mod. satisfied,Not applicable,Not applicable,Not applicable,Hardly any,Hardly any,Hardly any,Hardly any,Only some,Cannot trust,Exciting,2016
Not applicable,Ballot b,1976,"2as,ntmar,ntrel,opsex,1+ks",1st person,31590,65520,Strongly agree,Neither,Strongly disagree,Agree,Disagree,"I have a steady partner, and we live in the same household.",Not applicable,$130000 to $149999,$60000 to 74999,Not applicable,Not applicable,Not applicable,2,0,0,30,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,1,Never,Much better,Not applicable,Not too happy,Strong,Not str republican,South atlantic,$25000 or more,$25000 or more,Yes,Below average,Mother & stpfather,Never married,Not applicable,1238,Not too happy,Not applicable,Not at all sat,2,Mod. satisfied,Not likely,Once a month,Sev times a mnth,Hardly any,Hardly any,Hardly any,Only some,Only some,Cannot trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1969,"2adlts,mar,1+kids",2nd person,936,131676.6906,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$170000 or over,$1 000 to 2 999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Never,Not applicable,Pretty happy,Pretty happy,Somewhat strong,Not str republican,South atlantic,$1000 to 2999,Refused,Yes,Average,Mother & father,Married,Not applicable,1239,Not applicable,Fair,Satisfied,Don't know,Very satisfied,Not too likely,Once a month,Sev times a mnth,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1971,"2adlts,mar,1+kids",1st person,0,0,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Bachelor's,Refused,Refused,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Never,Not applicable,Pretty happy,Very happy,Strong,Not str republican,South atlantic,Refused,Refused,Yes,Above average,Mother & father,Married,Not applicable,1240,Not applicable,Excellent,Satisfied,3,No answer,Not likely,Sev times a week,Sev times a year,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
Not applicable,Ballot c,1968,"2adlts,mar,1+kids",1st person,0,56160,No issp,No issp,No issp,No issp,Agree,Not applicable,Not applicable,$110000 to $129999,Not applicable,None or almost none of the time,All or almost all of the time,None or almost none of the time,1,0,4,0,No,Yes,Somewhat true,Somewhat true,Agree,Agree,Not applicable,Not applicable,About the same,Very happy,Very happy,Not very strong,"Ind,near dem",South atlantic,Not applicable,$25000 or more,No,Above average,Mother & father,Married,Not applicable,1241,Not applicable,Excellent,Satisfied,5,Very satisfied,Not applicable,Not applicable,Not applicable,Only some,A great deal,Only some,Only some,A great deal,Cannot trust,Routine,2016
